S. No;Quotation;Author
939;It takes a talent to doubt, it requires no talent at all to despair (pp515);Søren Kierkegaard,
940;Tyhmät ja touhukkaat ihmiset kuvittelevat, että he toimivat ja toimivat ja toimivat. Sen sijaan käy suorastaan tietynlaisten älypäiden tunnusmerkistä se taituruus, jota osoittaen he välttävät toimimisen.;Søren Kierkegaard,
941;Only in much fear and trembling is a human being able to speak with God, in much fear and trembling;Søren Kierkegaard,
942;Het is allemaal waar wat de filosofie zegt: het leven moet achterwaarts worden begrepen. Maar dan vergeet men de tweede zin: dat het voorwaarts moet worden geleefd.;Søren Kierkegaard
943;"For with his little secret that he cannot divulge, the poet buys this power of the word to tell everybody else's dark secrets. A poet is not an apostle; he drives out devils only by the power of the devil.";Søren Kierkegaard,
944;„Het is beslist waar, zoals de filosofen zeggen, dat het leven naar achteren moet worden begrepen. Maar ze vergeten de andere kwestie, dat het leven naar voren moet worden geleefd.Origineel in het Deens:Det er ganske sandt, hvad Philosophien siger, at Livet maa forstaaes baglaends. Men derover glemmer man den anden Saetning, at det maa leves forlaends.;Søren Kierkegaard,
945;The unhappy person is one who has his ideal, the content of his life, the fullness of his consciousness, the essence of his being, in some manner outside of himself. The unhappy man is always absent from himself, never present to himself. But one can be absent, obviously, either in the past or in the future. This adequately circumscribes the entire territory of the unhappy consciousness.;Søren Kierkegaard,
946;to him who has the ring, the spirit of the ring is obedient, whether he be Noureddin or Aladdin, and he who has the world's treasure, has it, however he got it.;Søren Kierkegaard,
947;So there I sat and smoked my cigar until I drifted into thought. Among other thoughts, I recall these. You are getting on in years, I said to myself, and are becoming an old man without being anything and without actually undertaking anything. On the other hand, wherever you look in literature or in life, you see the names and figures of celebrities, the prized and highly acclaimed people, prominent or much discussed, the many benefactors of the age who know how to benefit humankind by making life easier and easier, some by railroads, others by omnibuses and steamships, others by telegraph, others by easily understood surveys and brief publications about everything worth knowing, and finally the true benefactors of the age who by virtue of thought systematically make spiritual existence easier and easier and yet more and more meaningful—and what are you doing?…So only one lack remains [in our time], even though not yet felt, the lack of difficulty. Out of love of humankind, out of despair over my awkward predicament of having achieved nothing and of being unable to make anything easier than it had already been made, out of genuine interest in those who make everything easy, I comprehended that it was my task: to make difficulties everywhere.-Søren Kierkegaard;Soren Kierkegaard
948;So there I sat and smoked my cigar until I drifted into thought. Among other thoughts, I recall these. You are getting on in years, I said to myself, and are becoming an old man without being anything and without actually undertaking anything. On the other hand, wherever you look in literature or in life, you see the names and figures of celebrities, the prized and highly acclaimed people, prominent or much discussed, the many benefactors of the age who know how to benefit humankind by making life easier and easier, some by railroads, others by omnibuses and steamships, others by telegraph, others by easily understood surveys and brief publications about everything worth knowing, and finally the true benefactors of the age who by virtue of thought systematically make spiritual existence easier and easier and yet more and more meaningful—and what are you doing?…So only one lack remains [in our time], even though not yet felt, the lack of difficulty. Out of love of humankind, out of despair over my awkward predicament of having achieved nothing and of being unable to make anything easier than it had already been made, out of genuine interest in those who make everything easy, I comprehended that it was my task: to make difficulties everywhere.;Soren Kierkegaard,
949;Wat voor goed zou het me doen als de waarheid voor me stond, koud en naakt, en er niet om gaf of ze door mij werd herkend of niet.;Søren Kierkegaard
950;"As soon as the single individual asserts himself in his singularity before the universal, he sins; and only by acknowledging this can he be reconciled again with the universal";Søren Kierkegaard,
951;"Gustavo Solivellas dice: ""Nuestra vida siempre expresa el resultado de nuestros pensamientos dominantes"" (Søren Kierkegaard)";Kierkegaard, Sören,
952;Umorul are un scepticism mult mai profund decât ironia, fiindcă în sfera lui accentul cade asupra păcatului, nu asupra finitudinii. Nu-şi găseşte liniştea doar făcându-l pe om să fie om, ci făcându-l pe om să fie Dumnezeu-om.;Søren Kierkegaard,
953;What I really lack is to be clear in my mind what I am to do, not what I must know…What matters is to find a purpose…to find a truth that is true for me, to find the idea for which I am willing to live and die…This is what my soul thirsts for as the African desert thirsts for water.;Søren Kierkegaard
954;For there is indeed danger. There is a danger that is called delusion. It is unable to check itself. It goes on and on: then it is called perdition. But there is a concerned guide, a knowing one, who attracts the attention of the wanderer, who calls out to him that he should take care. That guide is remorse. He is not so quick of foot as the indulgent imagination, which is the servant of desire. He is not so strongly built as the victorious intention. He comes on slowly afterwards. He grieves. But he is a sincere and faithful friend. If that guide’s voice is never heard, then it is just because one is wandering along the way of perdition.;Søren Kierkegaard,
