S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
404;I might be tempted to make to Christendom a proposal different from that of the Bible society. Let us collect all the New Testaments we have, let us bring them out to an open square or up to the summit of a mountain, and while we all kneel let one man speak to God thus: 'Take this book back again;;;;;;;;;;;;;;;;;;;
405;But the eternal is not a thing which can be had regardless of the way in which it is acquired;;;;;;;;;;;;;;;;;;;
406;He had thought that to pray was to talk;;;;;;;;;;;;;;;;;;;
407;It is unbelievable what a person of prayer can achieve if he would but close the doors behind him.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
408;"It is (to describe it figuratively) as if an author were to make a slip of the pen, and as if this clerical error became conscious of being such. Perhaps this was no error but in a far higher sense was an essential part of the whole exposition. It is, then, as if this clerical error were to revolt against the author, out of hatred for him, were to forbid him to correct it, and were to say, ""No, I will not be erased, I will stand as a witness against thee, that thou art a very poor writer.";Soren Kierkegaard;;;;;;;;;;;;;;;;;;
409;"Thus when the ambitious man, whose slogan was ""Either Caesar or nothing"", does not become Caesar, he is in despair over it. But this signifies something else, namely, that precisely because he did not become Caesar he now cannot bear to be himself. Consequently he is not in despair over the fact that he did not become Caesar, but he is in despair over himself for the fact that he did not become Caesar.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
410;He follows his heart's desire, but having found what he sought he wanders round to everyone's door with his song and speech, so that all can admire the hero as he does, be proud of the hero as he is.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
411;You should therefore say: alone in one's boat, alone with one's care, alone with one's despair, which one is craven enough to want rather to keep than submit to the pain of being healed.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
412;Satan's despair is absolute because Satan, as pure spirit, is pure consciousness, and for Satan (and all men in his predicament) every increase in consciousness is an increase in despair.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
413;Oh Thou that givest both the beginning and the completion, give Thou victory in the day of need so that what neither a man's burning wish nor his determined resolution may attain to, may be granted unto him in the sorrowing of repentance: to will only one thing.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
414;My depression is the most faithful mistress I have known -- no wonder, then, that I return the love.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
415;There is nothing so seductive to a girl as to be loved by a poetic-depressive type. And if she is vain enough to deceive herself into thinking that she loves him faithfully by clinging to him instead of giving him up, then her task will be easy. She will enjoy both the distinction and the good conscience of being faithful, and at the same time the most finely distilled romantic love. God save everyone from such faithfulness!;Kierkegaard;;;;;;;;;;;;;;;;;;
416;When the child must be weaned, the mother too is not without sorrow at the thought that she and the child are separated more and more, that the child which first lay under her heart and later reposed upon her breast will be so near to her no more.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
417;In association with the ordinary run of men I have had but little to win or to lose ... My companions have with few exceptions exerted no marked influence on me ... So I am standing once more at the point where I must begin in another way. I shall now try to look calmly at myself and begin to act inwardly;;;;;;;;;;;;;;;;;;;
418;I need the enchantment of creative work to help me forget life’s mean pettinesses.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
419;Precisely because a human being has the ability to speak, for this very reason the ability to keep silent is an art;;;;;;;;;;;;;;;;;;;
420;The bird keeps silent and waits: it knows, or rather it fully and firmly believes, that everything takes place at its appointed time. Therefore the bird waits, but it knows that it is not granted to it to know the hour or the day;;;;;;;;;;;;;;;;;;;
421;If the ethical - that is, social morality - is the highest and if there is in a person no residual incommensurability in some way such that this incommensurability is not evil then no categories are needed other than what Greek philosophy had... and what their wisdom amounts to is the beautiful proposition that basically everything is the same.;Kierkegaard;;;;;;;;;;;;;;;;;;
422;It is a positive starting point for philosophy when Aristotle says that philosophy begins with wonder, not as in our day with doubt. Moreover the world will learn that the thing is not to begin with the negative, and the reason why it has succeeded up to the present is that it has never really given itself over to the negative, and so has never seriously done what it said. Its doubt is mere child's play.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
423;ماذا لو أن كل شيئ في هذا العالم هو عبارة عن سوء فهم؟ ماذا لو أن الضحك في الحقيقة هو عبارة عن بكاء;سورين كيركجارد;;;;;;;;;;;;;;;;;;
424;The Good is one thing;;;;;;;;;;;;;;;;;;;
425;Ask me what you wish;;;;;;;;;;;;;;;;;;;
426;What every man can do is to make the movement of infinite resignation, and I for my part would not hesitate to pronounce everyone cowardly who wishes to make himself believe he can not do it. With faith it is a different matter. But what every man has not a right to do, is to make others believe that faith is something lowly, or that it is an easy thing, whereas it is the greatest and the hardest. People;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
427;What am I? The modest narrator who accompanies your triumphs;;;;;;;;;;;;;;;;;;;
428;Anxiety is freedom’s possibility;;;;;;;;;;;;;;;;;;;
429;In relation to the labyrinth of her heart, every young girl is an Ariadne;;;;;;;;;;;;;;;;;;;
430;My love consumes me. Only my voice is left, a voice which has fallen in love with you whispers to you everywhere that I love you. Oh! Does it weary you to hear this voice? Everywhere it enfolds you;;;;;;;;;;;;;;;;;;;
431;Riches and abundance come hypocritically clad in sheep's clothing, pretending to be security against anxieties, and they become then the object of anxiety. They secure a man against anxieties just about as well as the wolf that is put to tending the sheep.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
432;The girl made an impression on me, and I forgot her;;;;;;;;;;;;;;;;;;;
433;For the universal will constantly torture him and say, 'You ought to have talked. Where will you find the certainty that it was not after all a hidden pride which governed your resolution?;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
434;The more he needs God, the more deeply he comprehends he is in need of God, and then the more he in his need presses forward to God, the more perfect he is... To need God is nothing to be ashamed of but is perfection itself.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
435;The whole world can be divided into those who write and those who do not write. Those who write represent despair, and those who read disapprove of it and believe that they have a superior wisdom – and yet, if they were able to write, they would write the same thing. Basically they are all equally despairing, but when one does not have the opportunity to become important with his despair, then it is hardly worth the trouble to despair and show it. Is this what it is to have conquered despair?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
436;I see it perfectly;;;;;;;;;;;;;;;;;;;
437;As the ironist does not have the new within his power, it might be asked how he destroys the old, and to this it must be answered: he destroys the given actuality by the given actuality itself.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
438;The follower aspires with all his strength to be what he admires. And then, remarkably enough, even though he lives amongst a 'Christian people,' he incurs the same peril as he did when it was dangerous to openly confess Christ. And because of the follower's life, it will become evident who the admirers are, for the admirers will become agitated with him. Even these words will disturb many - but then they must likewise belong to the admirers.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
439;A young girl is excused for not being able to give reasons, they say she lives in her feelings. It is different with me. Generally, I have so many and usually mutually contradictory reasons that, for that reason, it is impossible for me to give reasons.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
